City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
15-0078-001,8/5/2015,F,8/18/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,,0.00,"1,964.17"
15-0081-001,7/15/2015,F,8/20/2015,Street- Central Maintenance Dist,Operations,Pot Hole,"2,000.00",0.00,0.00
15-0084-001,7/6/2015,F,9/3/2015,Police - Northern Precinct 200,Police Vehicle,Backing,"2,063.93",0.00,"1,234.75"
15-0086-001,8/4/2015,F,9/18/2015,Water Distrib - Morten Yard,Operations,Other,"5,030.00",0.00,0.00
15-0087-001,7/11/2015,F,9/23/2015,Parks- Admin/Dir/Mgt Svcs/Parks Devlpmt,Premises,Maint. Building/Premises,"1,431.76",0.00,"1,431.76"
15-0089-001,7/20/2015,F,8/11/2015,Transit- Phoenix Transit-Contract,Bus 21-75,Non-City,,0.00,0.00
15-0091-001,8/5/2015,F,10/15/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,,0.00,"1,256.76"
15-0092-001,8/3/2015,F,9/14/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Lane Change/Pass,678.57,0.00,678.57
15-0095-001,8/4/2015,F,8/26/2015,Street- Design and Construction Mgt,Operations,"Maint. of St., Sidewalks, Rights-of-way",538.37,0.00,583.27
15-0096-001,7/30/2015,F,8/13/2015,NSD- Neighborhood Preservation,Light Truck,Backing,908.12,0.00,908.12
15-0097-001,7/15/2015,F,9/2/2015,Street- Design and Construction Mgt,Operations,Construction Area,"1,043.16",0.00,0.00
15-0099-001,7/24/2015,F,9/9/2015,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,"1,475.53",0.00,"1,475.33"
15-0100-001,7/9/2015,F,2/19/2016,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Blue Stake Error,"7,500.00",0.00,"1,850.00"
15-0107-001,7/31/2015,F,9/15/2015,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,"1,575.00",0.00,0.00
15-0114-001,8/12/2015,F,2/3/2016,Water Distrib - Reservoir Yard,Operations,Water Hammer,"10,000.00",0.00,0.00
15-0114-002,8/12/2015,F,1/5/2016,Water Distrib - Reservoir Yard,Operations,Water Hammer,"28,388.28",0.00,0.00
15-0117-001,8/5/2015,F,12/22/2015,Street- Southeast Maint Dist,Light Truck,Failure to Yield,"60,000.00",0.00,"2,764.14"
15-0117-002,8/5/2015,F,6/7/2016,Street- Southeast Maint Dist,Light Truck,Failure to Yield,"50,000.00","15,000.00",0.00
15-0117-003,8/5/2015,F,5/25/2016,Street- Southeast Maint Dist,Light Truck,Failure to Yield,"50,000.00","7,000.00",0.00
15-0119-001,7/16/2015,F,8/25/2015,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,300.00,0.00,0.00
15-0120-001,7/23/2015,F,8/19/2015,Unknown Dept/Temporary Use Only,Premises,Maint. Building/Premises,,0.00,0.00
15-0121-001,7/23/2015,F,9/3/2015,Street- Design and Construction Mgt,Operations,Construction Area,"3,526.27",0.00,0.00
15-0122-001,8/5/2015,F,8/25/2015,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,"1,210.00",0.00,"1,210.00"
15-0123-001,7/21/2015,F,9/23/2015,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"5,000,000.00",0.00,0.00
15-0124-001,7/13/2015,F,8/8/2016,Police- Maryvale Precinct 800,Police Vehicle,Rear End,"4,138.83",0.00,"1,867.65"
15-0126-001,7/12/2015,F,12/7/2015,NSD- Neighborhood Revitalization,Light Truck,Struck Fixed Object,"5,028.41",0.00,"4,426.91"
15-0131-001,8/15/2015,F,9/23/2015,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,435.85,0.00,0.00
15-0135-001,8/5/2015,F,9/2/2015,Parks- Northeast Division,Operations,Damage to Property/Injury to Persons,229.00,0.00,0.00
15-0136-001,8/3/2015,F,10/5/2015,Street- North Maint Dist,Operations,Debris/Object in Road,"5,500.00",0.00,0.00
15-0136-002,8/6/2015,F,1/29/2016,Street- North Maint Dist,Operations,Debris/Object in Road,"4,342.62",0.00,0.00
15-0139-001,8/10/2015,F,9/18/2015,Street- Southeast Maint Dist,Operations,Pot Hole,540.00,0.00,0.00
15-0140-001,8/19/2015,F,8/16/2016,Street- North Maint Dist,Medium/Heavy,Backing,"20,000.00",0.00,815.00
15-0140-002,8/19/2015,F,3/1/2016,Street- North Maint Dist,Medium/Heavy,Backing,"2,792.14",0.00,"2,292.14"
15-0141-001,8/10/2015,F,9/14/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,740.87,0.00,740.87
15-0143-001,8/21/2015,F,9/2/2015,Street- Central Maintenance Dist,Operations,Damage by Mobile Equipment,420.00,0.00,420.00
15-0144-001,7/18/2015,F,10/2/2015,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"15,000.00",0.00,0.00
15-0145-001,8/24/2015,F,6/8/2016,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,,0.00,0.00
15-0146-001,8/7/2015,F,9/18/2015,Street- Southeast Maint Dist,Operations,Pot Hole,415.00,0.00,0.00
15-0147-001,7/28/2015,F,10/29/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,000.00",0.00,975.00
15-0148-001,7/22/2015,F,9/1/2015,Police- Maryvale Precinct 800,Police Vehicle,Struck Fixed Object,564.00,0.00,644.00
15-0150-001,8/5/2015,F,9/21/2015,Street- North Maint Dist,Operations,Debris/Object in Road,410.66,0.00,0.00
15-0151-001,7/22/2015,F,2/9/2016,Water Distrib - Cave Creek Yard,Light Truck,Rear End,"1,400.00",0.00,"1,400.00"
15-0152-001,8/4/2015,F,9/4/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Falling Load/Rock,200.00,0.00,200.00
15-0156-001,8/4/2015,F,9/2/2015,Pub Wks- Solid Waste Field Services Sout,Operations,Damage by Mobile Equipment,400.00,0.00,400.00
15-0158-001,8/28/2015,F,12/7/2015,Wastewtr Engineering & Construction Mgt,Operations,Sewer Backup,,0.00,531.63
15-0159-001,8/8/2015,F,9/1/2015,Transit- Phoenix Transit-Contract,Bus 21-75,Door Close on Claimant,,0.00,0.00
15-0164-001,8/25/2015,F,9/22/2015,Street- Southeast Maint Dist,Operations,Pot Hole,158.05,0.00,0.00
15-0166-001,8/12/2015,F,10/1/2015,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"1,070.80",0.00,"1,070.80"
15-0172-001,8/13/2015,F,9/1/2015,Street- Central Maintenance Dist,Operations,Construction Area,649.46,0.00,0.00
15-0173-001,7/24/2015,F,9/4/2015,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,659.54,0.00,659.54
15-0174-001,8/13/2015,F,9/4/2015,Water Distrib - Reservoir Yard,Operations,Damage by Mobile Equipment,149.99,0.00,149.99
15-0176-001,8/24/2015,F,10/6/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Lane Change/Pass,"1,304.73",0.00,652.37
15-0177-001,8/19/2015,F,10/7/2015,Street- Southwest Maint Dist,Operations,Pot Hole,381.68,0.00,200.00
15-0178-001,8/16/2015,F,9/16/2015,Street- Southeast Maint Dist,Operations,Pot Hole,442.08,0.00,0.00
15-0179-001,8/21/2015,F,10/1/2015,Parks- Northeast Division,Operations,"Maint. of St., Sidewalks, Rights-of-way",540.45,0.00,0.00
15-0180-002,7/31/2015,F,12/10/2015,Street- Traffic Ops/Invest/Sign-Stripe,Light Truck,U-Turn,"5,820.63",0.00,0.00
15-0180-003,7/31/2015,F,12/10/2015,Street- Traffic Ops/Invest/Sign-Stripe,Light Truck,U-Turn,"21,500.00",0.00,0.00
15-0182-001,8/20/2015,F,10/8/2015,Pub Wks-Sol Waste Disposl/Landfl/Transfe,Medium/Heavy,Backing,"1,094.76",0.00,0.00
15-0182-002,8/20/2015,F,8/5/2016,Pub Wks-Sol Waste Disposl/Landfl/Transfe,Medium/Heavy,Backing,"8,988.91",0.00,"10,808.09"
15-0183-001,7/12/2015,F,9/9/2015,Street- Central Maintenance Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",252.91,0.00,0.00
15-0184-001,8/27/2015,F,11/17/2016,Water Distrib - Morten Yard,Operations,Missing/Hit Cover,"10,000.00",600.00,0.00
15-0185-001,8/14/2015,F,9/10/2015,Parks- Downtown Division,Operations,Overhanging Tree,"1,036.00",0.00,0.00
15-0186-001,8/18/2015,F,9/9/2015,Water Distrib - Reservoir Yard,Operations,Water Hammer,"1,300.00",0.00,0.00
15-0190-001,7/22/2015,F,10/26/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Backing,"6,561.71",0.00,394.43
15-0190-002,7/22/2015,F,10/23/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Backing,"5,507.28",0.00,"5,507.28"
15-0191-001,8/31/2015,F,9/10/2015,Parks- Northwest Division,Light Truck,Backing,716.67,0.00,796.67
15-0193-001,8/21/2015,F,12/8/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"3,000.00",0.00,"1,522.80"
15-0194-001,7/19/2015,F,9/4/2015,Transit- Phoenix Transit-Contract,Bus 21-75,Lane Change/Pass,483.67,0.00,0.00
15-0196-001,7/24/2015,F,1/14/2016,Parks- Northwest Division,Operations,Overhanging Tree,"9,500.00",250.00,0.00
15-0199-001,8/22/2015,F,9/22/2015,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,270.00,0.00,270.00
15-0201-001,8/25/2015,F,6/8/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"70,000.00","84,355.88",0.00
15-0205-001,8/21/2015,F,2/9/2016,Planning-Civil-Site Svcs Develpmt Projects/ROW/Util Cut,Light Truck,Rear End,"2,375.31",0.00,"2,375.31"
15-0206-001,8/10/2015,F,9/24/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,378.94,0.00,0.00
15-0209-001,7/16/2015,F,9/14/2015,Police - Northern Precinct 200,Police Vehicle,Rear End,"2,283.83",0.00,"2,283.83"
15-0210-001,8/19/2015,F,12/4/2015,Street- Central Maintenance Dist,Operations,Pot Hole,679.88,0.00,368.76
15-0211-001,8/13/2015,F,9/16/2015,Housing-Senior Hous/Scattered Sites/Sec,Operations,Damage to Property/Injury to Persons,"1,034.93",0.00,"1,034.93"
15-0212-001,8/12/2015,F,11/2/2015,Water Distrib - Corona Yard,Light Truck,Lane Change/Pass,220.82,0.00,167.83
15-0214-001,8/26/2015,F,9/29/2015,Water Distrib - 2nd/3rd Shift,Light Truck,Falling Load/Rock,285.00,0.00,0.00
15-0215-001,8/3/2015,F,9/30/2015,Police - Estrella Mountain Precinct 300,Police Vehicle,Struck Fixed Object,700.00,0.00,700.00
15-0218-001,7/30/2015,F,11/21/2016,Police- Central City Precinct 500,Law Enforcement,False Arrest,"400,000.00",0.00,0.00
15-0219-001,8/11/2015,F,12/28/2015,Parks- South Division,Operations,Overhanging Tree,"3,000.00",0.00,"2,476.19"
15-0220-001,8/31/2015,F,10/6/2015,Fire Battalion 2,Fire Apparatus,Struck Fixed Object,376.97,0.00,376.97
15-0223-001,7/23/2015,F,9/17/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,900.00,0.00,974.70
15-0224-001,7/31/2015,F,11/9/2015,Fire Battalion 3,Fire/EMS Operations,Damage to Property/Injury to Persons,503.29,0.00,503.29
15-0225-001,7/22/2015,F,9/16/2015,Non-City Claim,Non-City,Non-City Claim,"1,750,000.00",0.00,0.00
15-0228-001,9/4/2015,F,10/1/2015,Street- Southwest Maint Dist,Operations,Pot Hole,"1,669.08",0.00,834.54
15-0229-001,8/11/2015,F,12/14/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,684.62",0.00,"1,441.75"
15-0230-001,7/12/2015,F,2/9/2016,Fire Battalion 4,Fire Apparatus,Turning,"4,385.67",0.00,0.00
15-0233-001,8/27/2015,F,10/20/2015,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,200.00,0.00,0.00
15-0235-001,9/4/2015,F,12/10/2015,Police- Cactus Park Precinct 900,Law Enforcement,"Care, Custody, Control","8,984.00",0.00,0.00
15-0237-001,9/9/2015,F,10/15/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,"2,162.29",0.00,500.00
15-0237-002,9/9/2015,F,12/3/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,"12,410.69",0.00,"12,410.69"
15-0237-003,9/9/2015,F,10/6/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,"3,782.52",0.00,0.00
15-0237-004,9/10/2015,F,10/22/2015,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Blue Stake Error,600.00,0.00,0.00
15-0237-005,9/9/2015,F,11/17/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,"4,206.29",0.00,"3,706.29"
15-0238-001,9/8/2015,F,10/1/2015,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,320.00,0.00,320.00
15-0240-001,9/2/2015,F,10/2/2015,Water Distrib - Morten Yard,Operations,Water Service Related,"2,690.00",0.00,0.00
15-0243-001,9/17/2015,F,12/23/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Backing,,0.00,187.30
15-0244-001,9/15/2015,F,2/22/2016,Street- Traffic Ops/Invest/Sign-Stripe,Light Truck,Lane Change/Pass,"38,000.00",0.00,"3,892.16"
15-0244-002,9/15/2015,F,3/4/2016,Street- Traffic Ops/Invest/Sign-Stripe,Light Truck,Lane Change/Pass,"2,245.91","2,245.91",0.00
15-0245-001,9/7/2015,F,10/7/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,380.00,0.00,380.00
15-0249-001,9/10/2015,F,10/13/2015,Fire Battalion 2,Fire Apparatus,Lane Change/Pass,"1,569.25",0.00,"1,269.25"
15-0250-001,9/15/2015,F,4/18/2016,Water Distrib - Reservoir Yard,Operations,Water Main Break,,0.00,"5,676.96"
15-0251-001,8/31/2015,F,11/13/2015,Parks- Northeast Division,Operations,Damage to Property/Injury to Persons,"1,656.00",0.00,0.00
15-0252-001,8/18/2015,F,12/7/2015,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,"1,378.59",0.00,0.00
15-0253-001,9/14/2015,F,9/24/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,911.48,0.00,831.48
15-0255-001,7/9/2015,F,11/12/2015,Unknown Dept/Temporary Use Only,Operations,Construction Area,"1,451.15",0.00,0.00
15-0256-001,7/8/2015,F,1/5/2016,Parks- Northeast Division,Operations,Overhanging Tree,"1,631.85",0.00,0.00
15-0257-001,8/18/2015,F,10/14/2015,Street- Southwest Maint Dist,Operations,Pot Hole,"2,588.91",0.00,0.00
15-0258-001,8/15/2015,F,2/9/2016,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,225.00,0.00,225.00
15-0259-001,8/31/2015,F,10/1/2015,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,450.00,0.00,450.00
15-0261-001,9/9/2015,F,2/9/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Rear End,"2,312.38","2,686.42","2,312.38"
15-0262-001,8/19/2015,F,9/25/2015,Pub Wks- Solid Waste Field Services East,Light Truck,Turning,"2,273.27",0.00,"2,273.27"
15-0263-001,8/28/2015,F,5/24/2016,Police- Desert Horizon Precinct 600,Police Vehicle,Rear End,"43,730.49","8,500.00","4,220.18"
15-0269-001,8/4/2015,F,2/2/2016,Street- Design and Construction Mgt,Light Truck,Rear End,"9,381.17",0.00,884.10
15-0269-002,8/4/2015,F,2/4/2016,Street- Design and Construction Mgt,Light Truck,Rear End,"10,381.71",0.00,"10,381.17"
15-0271-001,9/23/2015,F,10/16/2015,Water Distrib - Reservoir Yard,Medium/Heavy,Struck Fixed Object,"1,406.15",0.00,"1,406.15"
15-0274-001,9/8/2015,F,1/29/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,195.00,0.00,195.00
15-0277-001,7/15/2015,F,5/18/2016,Water Distrib - 2nd/3rd Shift,Medium/Heavy,Rear End,"50,000.00","6,000.00",0.00
15-0277-002,7/15/2015,F,9/13/2016,Water Distrib - 2nd/3rd Shift,Medium/Heavy,Rear End,"25,624.02","7,959.02",0.00
15-0280-001,9/4/2015,F,10/15/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,310.30,0.00,310.30
15-0282-001,7/21/2015,F,10/16/2015,Pub Wks- Solid Waste Field Services East,Operations,Damage to Property/Injury to Persons,"1,079.44",0.00,550.00
15-0283-001,8/30/2015,F,10/29/2015,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,Damage to Property/Injury to Persons,"1,540.51",0.00,"1,540.51"
15-0285-001,7/8/2015,F,10/2/2015,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",354.32,0.00,0.00
15-0286-001,9/15/2015,F,11/13/2015,Pub Wks- Solid Waste Field Services Sout,Light Truck,Rear End,"10,000.00",200.00,0.00
15-0286-002,9/15/2015,F,11/13/2015,Pub Wks- Solid Waste Field Services Sout,Light Truck,Rear End,"1,781.27",0.00,"3,013.54"
15-0288-001,9/11/2015,F,2/29/2016,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Police Vehicle,Rear End,600.00,0.00,0.00
15-0291-001,9/27/2015,F,10/29/2015,Street- Southwest Maint Dist,Operations,Overhanging Tree,"1,900.00",0.00,"1,900.00"
15-0292-001,9/4/2015,F,5/12/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Failure to Yield,"30,500.00","8,750.00","1,993.66"
15-0293-001,9/30/2015,F,12/22/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,900.00,0.00,900.39
15-0294-001,8/13/2015,F,10/16/2015,Police - Northern Precinct 200,Police Vehicle,Rear End,"1,901.49",0.00,"1,901.49"
15-0294-002,8/13/2015,F,2/29/2016,Police - Northern Precinct 200,Police Vehicle,Rear End,"10,500.00",0.00,0.00
15-0295-001,9/20/2015,F,12/7/2015,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,"1,550.00"
15-0295-002,9/20/2015,F,12/7/2015,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,"1,050.00"
15-0296-001,9/24/2015,F,3/8/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,729.61,0.00,0.00
15-0297-001,8/21/2015,F,2/2/2016,Planning-Commer Bldg Plan Rev/Insp/Elevatr In,Light Truck,Rear End,"3,419.15",0.00,0.00
15-0298-001,9/1/2015,F,11/3/2015,Parks- Downtown Division,Operations,"Maint. of St., Sidewalks, Rights-of-way","4,119.50",0.00,"4,119.50"
15-0299-001,9/25/2015,F,10/13/2015,Water Distrib - Reservoir Yard,Operations,Water Main Break,299.70,0.00,0.00
15-0301-001,9/28/2015,F,12/7/2015,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Police Vehicle,Lane Change/Pass,"6,820.27",0.00,"6,291.37"
15-0302-001,9/5/2015,F,5/17/2017,Water Distrib - Cave Creek Yard,Operations,Water Main Break,"1,239.40",0.00,"1,239.40"
15-0306-001,8/31/2015,F,11/17/2015,Street- Southeast Maint Dist,Refuse/Garbage,Struck Fixed Object,"2,600.00",0.00,"1,696.00"
15-0307-001,9/24/2015,F,11/12/2015,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Police Vehicle,Struck Fixed Object,"2,912.81",0.00,"1,594.05"
15-0308-001,8/18/2015,F,10/23/2015,Police-TechSvcs/Rec-ID/Lab/Com911/Prop M,Law Enforcement,Excessive Force,"35,000.00",0.00,0.00
15-0309-001,8/12/2015,F,1/20/2016,Parks-SpecOps/Aquatcs/Forest/Cityw Sport,Operations,Overhanging Tree,"4,674.74",0.00,0.00
15-0311-001,7/29/2015,F,5/11/2016,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"6,303.39",0.00,"3,151.70"
15-0311-003,7/29/2015,F,7/20/2017,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"38,500.00","20,000.00",0.00
15-0311-004,7/29/2015,F,5/13/2016,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,500.00,0.00,0.00
15-0311-005,7/29/2015,F,5/18/2016,Police- Desert Horizon Precinct 600,Police Vehicle,Failure to Yield,"4,951.40","2,407.70",0.00
15-0312-001,10/5/2015,F,12/22/2015,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,"2,869.15"
15-0312-002,10/5/2015,F,12/22/2015,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,"1,750.00"
15-0314-001,9/9/2015,F,10/30/2015,Fire-Fire Prevention/Resource Mgt/Haz Ma,Light Truck,Turning,"3,170.90",0.00,"3,170.90"
15-0316-001,9/17/2015,F,10/26/2015,Water Distrib - Reservoir Yard,Operations,Change Meter,400.00,0.00,0.00
15-0317-001,7/30/2015,F,10/16/2015,Street- Southwest Maint Dist,Operations,Blue Stake Error,"1,993.91",0.00,"1,825.78"
15-0318-001,9/23/2015,F,10/27/2015,Police-Inv/VCB-FIB-Drug Enf-OCB-Prop Cri,Law Enforcement,Auto Theft Related,216.00,0.00,216.00
15-0319-001,9/26/2015,F,10/26/2015,Street- Southwest Maint Dist,Operations,Pot Hole,90.00,0.00,0.00
15-0321-001,9/14/2015,F,11/2/2015,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,988.92,0.00,988.92
15-0324-001,8/15/2015,F,11/18/2015,Water Distrib - Reservoir Yard,Operations,Water Hammer,"1,344.00",0.00,"1,344.00"
15-0325-001,8/31/2015,F,3/14/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. of Equipment,803.13,0.00,0.00
15-0328-001,9/15/2015,F,10/15/2015,Street- Southeast Maint Dist,Operations,Tar/Paint/Oil,250.00,0.00,0.00
15-0329-001,10/5/2015,F,10/29/2015,Street- Southwest Maint Dist,Operations,Pot Hole,153.35,0.00,153.35
15-0330-001,9/14/2015,F,12/8/2015,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","2,500.00",0.00,0.00
15-0337-001,10/1/2015,F,10/21/2015,Street- Southwest Maint Dist,Operations,Tar/Paint/Oil,100.00,0.00,100.00
15-0338-001,10/7/2015,F,10/21/2015,Street- Central Maintenance Dist,Operations,Pot Hole,227.42,0.00,177.43
15-0339-001,9/3/2015,F,10/20/2015,Street- Southwest Maint Dist,Operations,Water Main Break,392.65,0.00,0.00
15-0340-001,9/10/2015,F,10/21/2015,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,500.00,0.00,0.00
15-0341-001,9/27/2015,F,10/30/2015,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",150.00,0.00,0.00
15-0343-001,7/15/2015,F,11/17/2015,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,800.00,0.00,800.00
15-0345-001,9/8/2015,F,1/11/2016,Water Distrib - Corona Yard,Operations,Pot Hole,250.00,0.00,196.64
15-0347-001,9/30/2015,F,2/22/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"2,271.00",0.00,0.00
15-0348-001,9/18/2015,F,10/30/2015,Human Svcs - Senior Svcs/Centers,Premises,Maint. Building/Premises,"1,766.00",0.00,0.00
15-0348-002,9/18/2015,F,11/4/2015,Human Svcs - Senior Svcs/Centers,Premises,Maint. Building/Premises,"1,064.95",0.00,0.00
15-0349-001,10/16/2015,F,10/29/2015,Street- Southwest Maint Dist,Light Truck,U-Turn,500.00,0.00,213.95
